embedding,covariance,k_used,cluster,strain
12D_outdegree_profile,spherical,7,0,S709B
12D_outdegree_profile,spherical,7,0,MS10 6
12D_outdegree_profile,spherical,7,0,MS11 4
12D_outdegree_profile,spherical,7,0,MS8 12
12D_outdegree_profile,spherical,7,0,MS11 23
12D_outdegree_profile,spherical,7,0,MS5 4
12D_outdegree_profile,spherical,7,0,S1502.2
12D_outdegree_profile,spherical,7,0,MS4 2
12D_outdegree_profile,spherical,7,0,S713'W
12D_outdegree_profile,spherical,7,0,S1226
12D_outdegree_profile,spherical,7,0,MS10 8
12D_outdegree_profile,spherical,7,0,MS4 4
12D_outdegree_profile,spherical,7,0,S1213B
12D_outdegree_profile,spherical,7,0,MS11 19
12D_outdegree_profile,spherical,7,0,S1701
12D_outdegree_profile,spherical,7,0,MS8 30
12D_outdegree_profile,spherical,7,0,MS15 6
12D_outdegree_profile,spherical,7,0,MS16 8
12D_outdegree_profile,spherical,7,0,MS8 21
12D_outdegree_profile,spherical,7,0,S705A
12D_outdegree_profile,spherical,7,0,B213
12D_outdegree_profile,spherical,7,0,S709A
12D_outdegree_profile,spherical,7,1,MS11 21
12D_outdegree_profile,spherical,7,1,S625
12D_outdegree_profile,spherical,7,1,S524
12D_outdegree_profile,spherical,7,1,MS3 11
12D_outdegree_profile,spherical,7,1,MS11 6
12D_outdegree_profile,spherical,7,1,MS1 14
12D_outdegree_profile,spherical,7,1,B201
12D_outdegree_profile,spherical,7,2,MS53 7
12D_outdegree_profile,spherical,7,2,S1705
12D_outdegree_profile,spherical,7,2,S1350
12D_outdegree_profile,spherical,7,3,S1213A
12D_outdegree_profile,spherical,7,3,MS8 13
12D_outdegree_profile,spherical,7,3,MS8 20
12D_outdegree_profile,spherical,7,3,MS11 13
12D_outdegree_profile,spherical,7,3,MS10 14
12D_outdegree_profile,spherical,7,3,MS8 10
12D_outdegree_profile,spherical,7,3,MS6 8
12D_outdegree_profile,spherical,7,3,MS16 3
12D_outdegree_profile,spherical,7,4,MS3 10
12D_outdegree_profile,spherical,7,5,S10071
12D_outdegree_profile,spherical,7,6,MS13 14
