layer1,layer2,J_obs,J_null_mean,J_null_sd,z,p_raw,n_null_draws,methodological_confound,seed,p_fdr_bh,significant_bh,p_fdr_by,significant_by
CMP,RP,0.046511627906976744,0.03742908622917187,0.005110646441712666,1.777180593764799,0.1141885811418858,10000,False,20260522,0.37682231776822317,False,1.0,False
CMP,IRP,0.007220216606498195,0.008192966282307514,0.00439995029961089,-0.22108196901572813,1.0,10000,False,20260522,1.0,False,1.0,False
CMP,IAC_RAC,0.0681063122923588,0.06036282593479844,0.0079763191168296,0.9708094979828512,0.37816218378162186,10000,False,20260522,0.6625390092569691,False,1.0,False
CMP,IAC_RDE,0.01238390092879257,0.016316467383253198,0.005534385688525043,-0.71056964147157,0.5734426557344265,10000,False,20260522,0.8170544647662894,False,1.0,False
CMP,IRAC,0.0544464609800363,0.048672123764958795,0.0077477191090757945,0.7452951163799106,0.46715328467153283,10000,False,20260522,0.7520028484956383,False,1.0,False
CMP,RAC,0.08333333333333333,0.08134632185266819,0.002866694610469624,0.6931367831816692,0.5271472852714728,10000,False,20260522,0.7731493517314935,False,1.0,False
CS,IG,0.054136874361593465,0.06085282450566199,0.005098821676050751,-1.3171572905978364,0.19858014198580143,10000,False,20260522,0.5698386683070823,False,1.0,False
CS,IC,0.018666666666666668,0.028131895327820906,0.006164107727978589,-1.5355391370257887,0.17168283171682833,10000,False,20260522,0.5395746139671748,False,1.0,False
CS,RP,0.04060913705583756,0.029746864528943366,0.004317502263310704,2.515869561713882,0.0168983101689831,10000,False,20260522,0.09294070592940705,False,0.4437386189708875,False
CS,IRP,0.0035335689045936395,0.007730388781747084,0.004069552362769459,-1.0312730991123986,0.40435956404359563,10000,False,20260522,0.6843008006891618,False,1.0,False
CS,IAC_RAC,0.038461538461538464,0.04290083212576859,0.006259110654287606,-0.7092531047025232,0.5041495850414959,10000,False,20260522,0.765973402659734,False,1.0,False
CS,IAC_RDE,0.018404907975460124,0.012906867793902859,0.004774990225094583,1.1514243846328207,0.32656734326567344,10000,False,20260522,0.6625390092569691,False,1.0,False
CS,IRAC,0.06739526411657559,0.07040930053369214,0.007556389713644611,-0.39887254778218845,0.7001299870012999,10000,False,20260522,0.8886265219631884,False,1.0,False
CS,RAC,0.09346846846846847,0.08549215392291763,0.0022164729667698145,3.5986518514480923,0.00029997000299970003,10000,False,20260522,0.002474752524747525,True,0.011815525357212982,True
IG,IC,0.09001233045622688,0.07752502943777596,0.004821863747229629,2.5897249845820327,0.010798920107989201,10000,False,20260522,0.06479352064793521,False,0.3093519366252126,False
IG,RP,0.02127659574468085,0.028447652203986894,0.003131816201669029,-2.2897437134032304,0.023697630236976304,10000,False,20260522,0.12031104581849508,False,0.5744163096737388,False
IG,IRP,0.008985879332477536,0.00945622490729066,0.0019371998966456886,-0.24279661362130986,1.0,10000,False,20260522,1.0,False,1.0,False
IG,IAC_RAC,0.04735883424408015,0.05693696830580209,0.005291024678748439,-1.810260704357099,0.0806919308069193,10000,False,20260522,0.3163801266932131,False,1.0,False
