embedding,covariance,k,bic,aic,icl,cv_loglik,gmm_silhouette,n_features,n_samples,seed
4D_codebase_embedding,spherical,7,598.0994189139601,512.231291862854,623.996243454186,-6.24811293476614,0.2175745570452017,4,60,20260522
4D_codebase_embedding,spherical,8,604.981847613115,506.54765318867624,646.0754520845076,-6.601052000029938,0.19307491151268327,4,60,20260522
12D_outdegree_profile,full,1,2111.865483546937,1923.3744729469481,2111.865483546937,-14.528120376856837,,12,60,20260522
12D_outdegree_profile,full,2,1892.3619922501998,1513.2856264879995,1892.3619922500798,-36.62092749455461,0.3507348412566085,12,60,20260522
12D_outdegree_profile,full,3,1775.964408801883,1206.3026878774717,1775.964408802227,-88.47300430506183,0.30785498690131013,12,60,20260522
12D_outdegree_profile,full,4,1807.1333166772752,1046.8862405906527,1807.201613636671,-971.3021618404889,0.12755078883166354,12,60,20260522
12D_outdegree_profile,full,5,1767.4850245479752,816.6525932991415,1767.4850474719437,-1379.9026024597415,0.1348095903700658,12,60,20260522
12D_outdegree_profile,full,6,1845.722577970957,704.3047915599122,1845.7226325601875,-1405.166291754457,0.08714242275111668,12,60,20260522
12D_outdegree_profile,full,7,1943.0516283091442,611.0484867358881,1943.1313898342653,-2393.4557425682683,0.1352947085821001,12,60,20260522
12D_outdegree_profile,full,8,1903.2262049986239,380.63770826315704,1903.2264483180415,-3673.0775610272044,0.130963018862177,12,60,20260522
12D_outdegree_profile,diag,1,2141.535760907579,2091.271491414249,2141.535760907579,-17.027262398459076,,12,60,20260522
12D_outdegree_profile,diag,2,1806.296539568528,1703.673656019645,1813.3452727068184,-14.621701649972128,0.2389541423546086,12,60,20260522
12D_outdegree_profile,diag,3,1489.8828670429461,1334.9013694385108,1492.3797864790643,-12.194031085110336,0.14681713239889574,12,60,20260522
12D_outdegree_profile,diag,4,1491.1129967721454,1283.7728851121574,1493.3010018833265,-13.081502874545274,0.07718973806109054,12,60,20260522
12D_outdegree_profile,diag,5,1429.53647137361,1169.8377456580697,1430.3907269567028,-12.53737550416663,0.12448055514299367,12,60,20260522
12D_outdegree_profile,diag,6,1425.4117947857358,1113.354455014643,1428.372662584912,-15.557436450872956,0.11692237740989872,12,60,20260522
12D_outdegree_profile,diag,7,1377.9544784183954,1013.5385245917498,1379.1594495093777,-91.21361516099125,0.12407622543435749,12,60,20260522
12D_outdegree_profile,diag,8,1390.4378989404966,973.6633310582986,1395.6029627386904,-16.85972072670242,0.052199732987421546,12,60,20260522
12D_outdegree_profile,spherical,1,2096.497970723136,2069.271491414249,2096.497970723136,-17.02726239845907,,12,60,20260522
12D_outdegree_profile,spherical,2,1950.7186374083446,1894.1713342283479,1955.7356480986548,-15.972727828811864,0.3435247994963906,12,60,20260522
12D_outdegree_profile,spherical,3,1880.31798647747,1794.449859426364,1884.3802953519946,-16.334498833367427,0.3212552333862972,12,60,20260522
12D_outdegree_profile,spherical,4,1879.5231271825535,1764.334176260338,1894.749119369781,-16.561921657875324,0.11057130639883532,12,60,20260522
12D_outdegree_profile,spherical,5,1872.7960111263956,1728.2862363330705,1887.5343625595256,-17.254886030273504,0.12108461180860257,12,60,20260522
12D_outdegree_profile,spherical,6,1888.6283287328658,1714.7977300684315,1900.0504369651383,-17.149786604493816,0.08490826423834784,12,60,20260522
12D_outdegree_profile,spherical,7,1745.524320205853,1542.3728976703092,1756.6553638234122,-17.1279263172265,0.1361177496041826,12,60,20260522
